CompanyID,Lifetime_Park Place,Lifetime_Boardwalk,Lifetime_StJamesPlace,Lifetime_Marvin Gardens,Lifetime_Ventnor,Lifetime_Kentucky,Lifetime_Tennessee,Lifetime_Pennslyvania,Last_Month_Park Place,Last_Month_Boardwalk,Last_Month_StJamesPlace,Last_Month_Marvin Gardens,Last_Month_Ventnor,Last_Month_Kentucky,Last_Month_Tennessee,Last_Month_Pennslyvania
1475361,-0.070062546,0.136328929,,0.811350476,,,1.753205314,,-0.148246493,-0.085591272,,0.798385902,,,1.037185132,
16400573,-0.033258178,,,,,,0.171361116,,-0.110039809,,,,,,-0.121411107,
246280,,,6.757425121,,,,,,,,2.405450965,,,,,
43076614,,,13.02572446,,,,,,,,4.937410477,,,,,
126828694,6.300050114,1.515289863,4.322832332,11.78057132,0.240240594,0.263760939,1.047302019,,2.245466073,0.590701636,0.86027677,3.875072621,0.17521584,-0.051243648,0.348937991,
105562330,,,,3.007735352,,,2.110356749,,,,,1.001372757,,,0.088731719,
28117851,-0.072853859,,,,,,,,,,,,,,,
3194954,0.580327681,0.140058743,0.382013736,0.972853448,-0.071283287,0.049709061,0.718714626,,0.100463062,0.011593585,0.216809445,0.393711143,-0.133174277,-0.103699115,0.086302401,
2555990,,,1.50309274,,,,,,,,0.560215758,,,,,
8929846,,,0.294514516,0.564792655,-0.014794229,0.125635345,0.035883815,,,,0.032700455,0.06802269,-0.002831542,-0.085790789,-0.059303216,
62637459,,,,,,,0.053454087,,,,,,,,-0.092794088,
44322135,0.027001049,,-0.014287972,,,,,,-0.161061556,,-0.117489387,,,,,
32394811,-0.040541486,3.390141284,-0.020439945,,,,0.877561148,,-0.120181777,1.486067413,-0.086378202,,,,0.152126129,
27181208,,0.325146134,,,,,0.371951617,,,0.025394101,,,,,0.010023107,
68799582,,,0.217094863,,,,,,,,0.012250819,,,,,
7503938,,,,,,,0.302417851,,,,,,,,-0.035913135,
18796172,,,0.102148027,,,,0.080613663,,,,-0.035835954,,,,-0.061684196,
89440718,,1.082130043,,,,-0.056754947,,,,1.031444781,,,,-0.096534691,,
190857276,0.965282992,2.467051472,0.538930776,3.703805976,0.521808357,,0.297481465,,0.117082681,0.74753841,0.153947347,1.330607169,0.352873038,,0.077173735,
77939460,,,0.287830783,,,,,,,,0.118451156,,,,,
20467876,,,0.045130269,,,,,,,,-0.081489429,,,,,
61949294,0.467746899,0.555973659,0.453802062,0.400723461,0.329163883,0.031331429,0.438806247,,0.034479104,0.080221199,0.165149263,-0.002746702,0.244605618,-0.119427371,-0.006410422,
13206029,,-0.078568919,,9.199416485,,,,,,-0.221053926,,3.187017239,,,,
20054213,,,1.806171114,,,,,,,,0.069359238,,,,,
6178232,,,,,,,-0.023559859,,,,,,,,-0.133841258,
37831131,0.58389649,,0.583747486,0.413161496,,,1.433371922,,0.078399682,,0.113374503,0.017337119,,,0.538514513,
13780132,,,,,,,1.700595152,,,,,,,,0.455272201,
18241240,,,,3.754069696,,0.645164851,,,,,,1.129743792,,0.079618867,,
2903082,,,,1.040887691,,,0.060842437,,,,,0.32356487,,,-0.078558035,
345500334,,,-0.020635661,,,,,,,,-0.122292623,,,,,
483828705,,,0.095758547,0.945315994,,,,,,,-0.035652748,0.214100544,,,,
50466149,,0.145055481,-0.050939484,,,0.312570324,0.268439134,,,-0.069684386,-0.140136798,,,-0.136863857,-0.01519774,
346149199,,0.074901243,-0.054241092,-0.027776348,,,0.112366101,,,-0.080354885,-0.123868671,-0.116821013,,,-0.008455226,
28262557,,,1.497667164,,,,,,,,0.308100085,,,,,
27003689,-0.011933568,-0.014141555,0.249561857,10.03525801,0.315967033,0.030889418,-0.003912269,,-0.126759585,-0.131962851,0.019108309,3.424486984,0.154632429,-0.107627797,-0.101418789,
313065571,-0.06896404,0.168477844,1.520057278,0.042580202,0.080408514,0.143042626,1.258203116,,-0.149267652,-0.073945564,0.484170195,0.123216399,0.044605954,-0.077101539,0.633172978,
25346393,,,0.425040513,,,,,,,,0.380908811,,,,,
8274594,,,1.175337184,,,,,,,,0.215427046,,,,,
24412371,,,3.045868814,,,,,,,,1.036960153,,,,,
25743000,,0.191350007,,0.104874302,,,,,,-0.007896757,,-0.007016732,,,,
57051791,,,,,,,0.836011166,,,,,,,,0.217533715,
25231738,-0.055674231,,,,,,-0.015149534,,-0.127916308,,,,,,-0.134306534,
15616792,,,,0.076915552,,,,,,,,-0.100330295,,,,
18319464,0.231723012,,-0.013109896,,-0.066893525,,,,-0.030835388,,-0.116669436,,-0.124616414,,,
356329695,,,,-0.068578243,,,,,,,,-0.018040813,,,,
65047797,,-0.054141317,,,,,,,,-0.141967365,,,,,,
347800965,,,,,,,0.286878118,,,,,,,,-0.145358165,
25987521,0.24462856,0.226384012,0.079271397,0.111308273,-0.070090411,0.00294533,0.184432983,,-0.049922816,-0.042444096,-0.063269096,-0.060450192,-0.140474664,-0.126021092,-0.019555395,
106545259,,,,,,0.10518139,0.097637311,,,,,,,-0.088985952,-0.122322561,
24937986,,,,,,,0.180272357,,,,,,,,-0.048483525,
56953886,,,0.061819717,,,,,,,,-0.055346486,,,,,
41341781,,,,,,,0.277078085,,,,,,,,0.001328585,
24169680,0.630151281,3.674448032,-0.068460401,,-0.021978148,,0.340127663,,0.143868238,1.064024397,-0.140424835,,0.174118892,,-0.031968638,
83740613,,,0.254583998,,,,,,,,0.075140567,,,,,
