Current_Customer,CompanyID,Founded_Year,Revenue_(in_000s_USD),Revenue_Range_(in_USD),Est_Marketing_Department_Budget_(in_000s_USD),Est_Finance_Department_Budget_(in_000s_USD),Est_IT_Department_Budget_(in_000s_USD),Est_HR_Department_Budget_(in_000s_USD),Employees,Employee_Range,Past_1_Year_Employee_Growth_Rate,Past_2_Year_Employee_Growth_Rate,SIC_Code_1,SIC_Code_2,SIC_Codes,NAICS_Code_1,NAICS_Code_2,NAICS_Codes,Primary_Industry,Primary_Sub-Industry,All_Industries,All_Sub-Industries,Industry_Hierarchical_Category,Secondary_Industry_Hierarchical_Category,Alexa_Rank,Ownership_Type,Business_Model,Certified_Active_Company,Certification_Date,Total_Funding_Amount_(in_000s_USD),Recent_Funding_Amount_(in_000s_USD),Recent_Funding_Round,Recent_Funding_Date,Recent_Investors,All_Investors,Company_City,Company_State,Company_Zip_Code,Company_Country,Number_of_Locations,Company_Is_Acquired
Y,1475361,1994,538046000,Over $5 bil.,69407934,5380460,15065288,4041427,1541000,Employees.10000plus,0,0,8999,5961,50;506;5064;53;533;5331;55;553;5531;56;566;5661;89;899;8999;59;596;5961,458210,458110,44;449;4492;44921;449210;45;455;4552;45521;455219;458;4582;45821;458210;51;512;5122;51225;4581;45811;458110;42;423;4236;42362;423620;454;4541;45411;454110,Retail,"Department Stores, Shopping Centers & Superstores",Retail,"Department Stores, Shopping Centers & Superstores;Apparel & Accessories Retail;Automobile Parts Stores;Flowers, Gifts & Specialty Stores;Furniture;Grocery Retail;Home Improvement & Hardware Retail;Jewelry & Watch Retail;Office Products Retail & Distribution;Other Rental Stores (Furniture, A/V, Construction & Industrial Equipment);Pet Products;Record, Video & Book Stores;Sporting & Recreational Equipment Retail;Toys & Games;Vitamins, Supplements & Health Stores",retail,retail.departmentstore,11,Public,B2B,Yes,6-Sep-23,48000,48000,Stock Issuance/Offering,14-May-97,,,Seattle,Washington,98109,United States,37,
Y,16400573,1998,256735000,Over $5 bil.,33118815,2567350,7188580,228090,160000,Employees.10000plus,0,0,7389,7379,73;738;7389;737;7375;7379;7374;7371,541519,541512,51;518;5182;51821;518210;54;541;5415;54151;541511;541512;541519;519;5191;51913;519130,Software,Content & Collaboration Software,Software,Content & Collaboration Software,software,software.contentcol,1,Private,B2B,Yes,9-Sep-22,1925100,1900000,Stock Issuance/Offering,19-Aug-04,Undisclosed,Andy Bechtolsheim;Undisclosed;Kleiner Perkins Caufield & Byers;Steamboat Ventures,Mountain View,California,94043,United States,91,
Y,246280,1989,63144419,Over $5 bil.,4862120,631444,2967787,1663794,738000,Employees.10000plus,0,0,8748,8742,87;874;8748;73;738;7389;737;7379;8742,541618,541611,54;541;5416;54161;541618;5415;54151;541519;51;518;5182;51821;518210;541511;541611,Business Services,Management Consulting,Business Services,Management Consulting,bizservice,bizservice.consulting,3668,Public,B2B,Yes,25-Sep-23,1700000,1700000,Stock Issuance/Offering,18-Jul-01,,,Dublin,Leinster,D02 P820,Ireland,49,
Y,43076614,1999,364115000,Over $5 bil.,18205750,3641150,10559335,139776,62000,Employees.10000plus,5.5,7.4,1311,131,13;131;1311,325110,211120,21;211;2111;21112;211120;32;325;3251;32511;325110,"Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste;Manufacturing","Electricity, Oil & Gas;Chemicals & Related Products;Oil & Gas Exploration & Services",energy,energy.energy,71652,Public,B2B,Yes,6-Sep-23,0,0,,,,,Spring,Texas,77389,United States,28,
Y,126828694,1983,136835000,Over $5 bil.,11083635,2052525,5062895,253627,112500,Employees.10000plus,0,0,4899,4813,48;481;4813;489;4899;4812,517312,517121,51;517;5171;51711;517112;517111;51712;517121;5173;51731;517312,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,543,Public,B2B,Yes,31-Aug-23,0,0,,,,,New York City,New York,10036,United States,55,
Y,105562330,1994,79571000,Over $5 bil.,6445251,1193565,2944127,160066,71000,Employees.10000plus,0,0,7375,6719,67;671;6719;48;481;4812;73;737;7375;484;4841;489;4899,551112,517312,81;811;8112;81121;51;517;5178;51781;55;551;5511;55111;551112;5171;51711;517112;5173;51731;517312,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,230,Public,B2B,Yes,23-Sep-23,38154100,4000000,Debt,18-Jun-20,Undisclosed,Undisclosed;Undisclosed;Undisclosed;Undisclosed;Undisclosed;Undisclosed;Undisclosed;Undisclosed;Undisclosed;Undisclosed;Undisclosed;Undisclosed;Undisclosed,Bellevue,Washington,98006,United States,81,
Y,28117851,1995,124915076,Over $5 bil.,10118121,1873726,4621857,493758,206759,Employees.10000plus,0,0,7389,7375,48;484;4841;489;4899;481;4812;73;737;7375;7374;738;7389,518210,517810,51;517;5171;51711;517111;51712;517121;517112;5178;51781;517810;518;5182;51821;518210;5173;51731;517312,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,2769,Public,B2B,Yes,12-Sep-23,17410000,250000,Corporate Investment,1-Nov-19,European Investment Bank,RBC Capital Markets;RD Securities;Citi;Undisclosed;Blackstone;European Investment Bank,Bonn,Nordrhein-Westfalen,53113,Germany,12,
Y,3194954,1983,120741000,Over $5 bil.,9780021,1811115,4467417,362292,160700,Employees.10000plus,0,0,7389,7379,48;481;4813;73;737;7375;489;4899;738;7389;7379;59;599;5999,518210,517311,51;518;5182;51821;518210;44;449;4492;44921;449210;517;5178;51781;5171;51711;517111;5173;51731;517311,Telecommunications,Telephony & Wireless,Telecommunications,Telephony & Wireless,telecom,telecom.telephone,232,Public,B2B,Yes,6-Sep-23,10600000,10600000,Stock Issuance/Offering,26-Apr-00,,,Dallas,Texas,75202,United States,59,
Y,2555990,1933,604284257,Over $5 bil.,30214212,6042842,17524243,122829,70496,Employees.10000plus,0,0,2711,1381,27;271;2711;13;138;1381,213111,21311,21;213;2131;21311;213111,"Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas",energy,energy.energy,32033,Private,B2B,Yes,27-Jun-23,0,0,,,,,Dhahran,Eastern Province,31311,Saudi Arabia,5,
Y,8929846,1963,121427000,Over $5 bil.,15785510,1214270,6435631,419330,186000,Employees.10000plus,10.1,6.7,8661,7389,48;484;4841;489;4899;481;4813;73;737;7374;738;7389;86;866;8661,551112,519130,51;517;5171;51711;517111;516;5161;51612;5162;51621;516210;518;5182;51821;518210;5174;51741;517410;55;551;5511;55111;551112;519;5191;51913;519130,Holding Companies & Conglomerates,,Holding Companies & Conglomerates;Media & Internet;Telecommunications,"Broadcasting;Cable & Satellite;Internet Service Providers, Website Hosting & Internet-related Services;Telephony & Wireless",conglomerate,,12912,Public,B2B,Yes,7-Feb-23,33010,30000,Grant,18-Mar-22,,,Philadelphia,Pennsylvania,19103,United States,38,
