Current_Customer,CompanyID,Founded_Year,Company_HQ_Phone,Fax,Revenue_(in_000s_USD),Revenue_Range_(in_USD),Est_Marketing_Department_Budget_(in_000s_USD),Est_Finance_Department_Budget_(in_000s_USD),Est_IT_Department_Budget_(in_000s_USD),Est_HR_Department_Budget_(in_000s_USD),Employees,Employee_Range,Past_1_Year_Employee_Growth_Rate,Past_2_Year_Employee_Growth_Rate,SIC_Code_1,SIC_Code_2,SIC_Codes,NAICS_Code_1,NAICS_Code_2,NAICS_Codes,Primary_Industry,Primary_Sub-Industry,All_Industries,All_Sub-Industries,Industry_Hierarchical_Category,Secondary_Industry_Hierarchical_Category,Alexa_Rank,Ownership_Type,Business_Model,Certified_Active_Company,Certification_Date,Total_Funding_Amount_(in_000s_USD),Recent_Funding_Amount_(in_000s_USD),Recent_Funding_Round,Recent_Funding_Date,Recent_Investors,All_Investors,Company_City,Company_State,Company_Zip_Code,Company_Country,Number_of_Locations,Company_Is_Acquired
N,2441797,1976,(408) 996-1010,(408) 974-2113,387537000,Over $5 bil.,31390497,5813055,14338869,369732,164000,Employees.10000plus,0,0,8732,5045,50;504;5045;87;873;8732;73;737;36;365;367;3679;366;3663;35;357;3571,423430,334220,33;334;3341;33411;334112;334111;334118;42;423;4234;42343;423430;3342;33422;334220,Manufacturing,Computer Equipment & Peripherals,Manufacturing,Computer Equipment & Peripherals,mfg,mfg.computers,89,Public,B2B,Yes,12-Sep-23,2162250,1000000,Share Placement,16-May-16,Berkshire Hathaway,Mike Markkula;Microsoft;Berkshire Hathaway,Cupertino,California,95014,United States,23,
N,155353090,1962,(479) 273-4000,(479) 277-1830,630794000,Over $5 bil.,76956868,6307940,12615880,4734373,2100000,Employees.10000plus,11.2,28.9,6719,5411,67;671;6719;50;506;5064;53;539;5399;531;5311;51;514;5141;54;541;5411,551114,455110,42;424;4249;42499;424990;45;455;4551;45511;455110;55;551;5511;55111;551114;44;445;4452;44524;445240;4244;42441;424410;4451;44511;445110,Retail,"Department Stores, Shopping Centers & Superstores",Retail,"Department Stores, Shopping Centers & Superstores;Apparel & Accessories Retail;Consumer Electronics & Computers Retail;Convenience Stores, Gas Stations & Liquor Stores;Drug Stores & Pharmacies;Furniture;Grocery Retail;Home Improvement & Hardware Retail;Record, Video & Book Stores;Sporting & Recreational Equipment Retail",retail,retail.departmentstore,81,Public,B2B,Yes,24-Sep-23,6850,3000,Stock Issuance/Offering,1-Mar-72,,Arvest Bank Group;First National Bank of Commerce;Mass Mutual,Bentonville,Arkansas,72716,United States,4202,
N,24904409,1975,(425) 882-8080,(425) 936-7329,204094000,Over $5 bil.,26736314,2040940,7551478,475335,210842,Employees.10000plus,-4.4,-4.4,7389,7379,73;737;7379;738;7389;7374;35;357;3575;3571;36;369;3699;7372,518210,513210,51;513;5132;51321;513210;33;334;3341;33411;334118;518;5182;51821;518210;516;5162;51621;334111;335;3359;33599;335999;511;5112;51121;511210,Software,Database & File Management Software,Software;Manufacturing,Database & File Management Software;Computer Equipment & Peripherals;Content & Collaboration Software;Electronics,software,software.db,44,Public,B2B,Yes,25-Sep-23,1000,1000,Other Financing Round,1-Sep-81,Technology Venture Investors,Technology Venture Investors,Redmond,Washington,98052,United States,63,
N,10256729,1963,(401) 765-1500,,339204000,Over $5 bil.,41382888,3392040,6784080,482455,214000,Employees.10000plus,0,0,8093,8049,51;512;5122;72;729;7299;59;591;5912;80;804;8049;809;8093,812199,621498,42;424;4242;42421;424210;81;812;8121;81219;812199;45;456;4561;45611;456110;45619;456199;62;621;6214;62149;621498;6213;62139;621399;44;446;4461;44611;446110,Retail,Drug Stores & Pharmacies,Retail;Consumer Services,"Drug Stores & Pharmacies;Apparel & Accessories Retail;Vitamins, Supplements & Health Stores",retail,retail.pharmacy,454,Public,B2C,Yes,9-Sep-23,0,0,,,,,Woonsocket,Rhode Island,2895,United States,31,
N,141738322,1938,+82 312001114,(82)31-200-7538,214420431,Over $5 bil.,17368054,3216306,7933555,729557,323606,Employees.10000plus,0,0,5731,5064,36;367;3679;57;573;5731;50;506;5064;35;357;3571;366;3661;365;3651,449210,334419,44;449;4492;44921;449210;33;334;3341;33411;334111;3342;33421;334210;33422;334220;3343;33431;334310;3344;33441;334419,Manufacturing,Telecommunication Equipment,Manufacturing,Telecommunication Equipment;Computer Equipment & Peripherals;Electronics,mfg,mfg.telecom,35,Public,B2B,Yes,22-Sep-23,0,0,,,,,Suwon-si,Gyeonggi-do,16677,South Korea,30,
N,19513364,1968,(408) 765-8080,(503) 613-7292,63100000,Over $5 bil.,7698200,631000,1262000,297363,131900,Employees.10000plus,33.8,69.2,3674,3577,36;367;3674;35;357;3572;3577,334418,334413,33;334;3341;33411;334112;3344;33441;334413;334418;334118,Manufacturing,Computer Equipment & Peripherals,Manufacturing,Computer Equipment & Peripherals,mfg,mfg.computers,2717,Public,B2B,Yes,12-Sep-23,6800,6800,Stock Issuance/Offering,31-Dec-70,,,Santa Clara,California,95052,United States,30,
N,18579882,1911,(914) 499-1900,(914) 499-2188,60533000,Over $5 bil.,7929823,605330,2118655,586160,260000,Employees.10000plus,0,-4.2,8999,8748,87;874;8742;8748;89;899;8999;73;737;7379;35;357;3571,541618,541512,54;541;5415;54151;541512;33;334;3341;33411;334111;5416;54161;541618;51;518;5182;51821;518210,Business Services,Custom Software & IT Services,Business Services,Custom Software & IT Services,bizservice,bizservice.techconsulting,2298,Public,B2B,Yes,21-Apr-23,0,0,,,,,Armonk,New York,10504,United States,54,
N,21403020,1865,(800) 227-4455,(901) 937-4461,165000000,Over $5 bil.,20130000,1650000,3300000,405102,155000,Employees.10000plus,1.9,-13,5153,2076,51;515;5153;01;011;0119;02;021;0212;20;204;2041;207;2076;2048,424510,311225,11;112;1121;11211;112111;42;424;4245;42451;424510;111;1111;11119;111199;31;311;3112;31121;311211;31122;311225;3111;31111;311119,Agriculture,Crops,Agriculture;Manufacturing,Crops;Animals & Livestock;Food & Beverage,agriculture,agriculture.crops,61967,Private,B2B,Yes,21-Sep-23,0,0,,,,,Minneapolis,Minnesota,55440,United States,48,
N,39600454,1977,(952) 936-1300,(860) 728-7979,322132000,Over $5 bil.,42199292,3221320,10952488,995555,400000,Employees.10000plus,0,0,8099,6719,64;641;6411;63;632;6324;67;671;6719;6321;635;6351;639;6399;80;809;8099,621999,551112,52;524;5241;52411;524114;52412;524128;524113;5242;52429;524291;524298;55;551;5511;55111;551112;62;621;6219;62199;621999,Insurance,,Insurance,,insurance,,39373,Public,B2B,Yes,30-May-23,0,0,,,,,Minnetonka,Minnesota,55343,United States,50,
N,7783252,1879,(925) 842-1000,+55 21 2510 5910,235717000,Over $5 bil.,11785850,2357170,6835793,98849,43846,Employees.10000plus,0,0,4924,4612,29;299;2992;46;461;4612;13;138;1381;2999;28;281;2813;49;492;4924;131;1311,486110,483111,45;457;4571;45712;457120;32;324;3241;32419;324199;325;3251;32511;325110;48;486;4861;48611;486110;483;4831;48311;483111;4572;45721;457210;21;211;2111;21112;211120,"Energy, Utilities & Waste",Oil & Gas Exploration & Services,"Energy, Utilities & Waste;Manufacturing;Retail;Transportation","Oil & Gas Exploration & Services;Chemicals & Related Products;Convenience Stores, Gas Stations & Liquor Stores;Freight & Logistics Services;Marine Shipping & Transportation",energy,energy.services,63249,Public,B2B,Yes,1-Sep-23,0,0,,,,,San Ramon,California,94583,United States,40,
